NAME	SCORE
PMEL	-2.153426
MDP1	-2.1545494
ADCY5	-2.1589024
NDUFS6	-2.1622448
USH1C	-2.1628873
INKA2	-2.1629632
DNAJC28	-2.1641371
TAFA2	-2.164442
MPC1	-2.1658916
PCBD1	-2.1670032
HAND2-AS1	-2.1670113
PLN	-2.1670918
ROGDI	-2.1679416
MYL9	-2.1707935
HMGN2	-2.174406
C10orf71	-2.1763442
LINC00880	-2.1771395
HMGCLL1	-2.178475
RBMS3-AS3	-2.1800754
DAND5	-2.1819665
SSPN	-2.1831336
REXO5	-2.1955957
COX6C	-2.195835
LINC00526	-2.1979306
SELENOW	-2.1987932
ACADSB	-2.1988254
CDC20	-2.2007995
VSNL1	-2.2018356
ACAT1	-2.2048788
GON7	-2.2090771
KCNQ2	-2.2147632
CDC6	-2.216078
SYNJ2BP-COX16	-2.2214432
PLK4	-2.221475
SLC2A8	-2.2226312
SCHIP1	-2.2226493
TBX20	-2.225745
LYPD6	-2.2288985
YPEL1	-2.232118
KIF22	-2.2324457
ANKRD1	-2.238789
CTF1	-2.2406027
UNC45B	-2.2417438
BCL2A1	-2.2424433
SRP14-AS1	-2.24519
LYRM9	-2.2500672
NIPSNAP3B	-2.2533746
BANCR	-2.2538455
DERL3	-2.2554498
HAND2	-2.2556803
ACOT1	-2.259996
TECRL	-2.264283
CAMK2A	-2.271184
CRIP2	-2.272728
COX7B	-2.281664
KIAA0319	-2.2817304
HAND1	-2.2819989
S100A6	-2.2879486
CORO6	-2.2898314
BIK	-2.2920418
CCND2-AS1	-2.2955842
BOLA1	-2.2967165
NDUFA3	-2.3021543
ACSM5	-2.3030179
DRD1	-2.30513
COL21A1	-2.3096635
ATP5PF	-2.3122182
GP1BB	-2.3145094
MORN2	-2.3191514
TK1	-2.3201876
CDCA5	-2.3224618
LRRC52-AS1	-2.3244216
LINC01778	-2.3276033
FPGT	-2.3291087
TMOD1	-2.3297431
CLIC5	-2.3328004
PDE6B	-2.333192
C17orf97	-2.335326
FOXM1	-2.340321
TRDN-AS1	-2.3406165
CRYAB	-2.344243
HSD17B8	-2.345639
DNAAF3	-2.3481798
UBE2C	-2.3493323
TAGLN3	-2.3547766
ZSCAN16-AS1	-2.3562346
MRPS28	-2.3584976
FN3K	-2.3647785
RPA3	-2.3652458
NTF4	-2.3770978
VIPR1	-2.3824832
EPHX2	-2.3842893
HSPB1	-2.3850722
C14orf180	-2.3866243
RCSD1	-2.3897192
C11orf74	-2.390511
SLC30A3	-2.3950076
PHYHD1	-2.3950357
CENPH	-2.3957255
SLC8A1	-2.4069676
TRAPPC6A	-2.4090629
NES	-2.4121282
NEBL	-2.4136403
TMEM141	-2.4175522
LRRC10	-2.418899
NUSAP1	-2.423946
GSG1	-2.4244797
KCNS2	-2.4258964
PHOSPHO2	-2.4277866
EXOC3-AS1	-2.4301765
LINC02384	-2.4332702
IDNK	-2.4339259
LRRCC1	-2.4372141
SFRP2	-2.43868
CLYBL	-2.4432566
DUSP27	-2.4436803
TSTD1	-2.4439332
HJURP	-2.4514496
MTERF2	-2.4540236
ACOT2	-2.4639897
PRADC1	-2.4643555
PHACTR3	-2.466546
RPE65	-2.4673107
ADHFE1	-2.4705534
ZNF793-AS1	-2.4827542
APOBEC2	-2.4953072
CCNB2	-2.5002818
GIHCG	-2.5026057
SMIM5	-2.5074034
UPK1B	-2.5186968
C11orf1	-2.5235705
CDK1	-2.528634
MINCR	-2.5319476
PNMT	-2.5329049
CKAP2L	-2.5335174
DEPDC1	-2.5384464
COX7C	-2.5387478
FERMT1	-2.540029
RMI2	-2.5423355
TYMSOS	-2.551361
NEK2	-2.5610898
SLC26A9	-2.5653584
CRABP2	-2.5659134
MIR1-1HG-AS1	-2.5678487
PKIA	-2.5704277
ALDOC	-2.573856
PKMYT1	-2.575518
GPR183	-2.5800998
SFRP5	-2.580538
RRM2	-2.5813403
BRINP2	-2.5876932
TMEM163	-2.592041
BIRC5	-2.6034236
CASQ1	-2.6140187
NDUFB1	-2.6170459
C11orf71	-2.6220725
TMEM71	-2.625232
MLIP	-2.626909
TYRP1	-2.631008
UBE2E1	-2.6333034
PDE1A	-2.636327
SLC27A6	-2.6408794
DTL	-2.6411674
SGCA	-2.644098
GPX3	-2.6527383
MYZAP	-2.6546538
PLAC1	-2.6583693
CASQ2	-2.6602407
CAVIN3	-2.6618268
ANLN	-2.6625867
SPHKAP	-2.6683915
IGSF5	-2.672417
SYNPO2L	-2.6727822
GPR22	-2.68325
SMYD1	-2.6874087
SORCS3	-2.6877208
LINC00881	-2.6928074
HRH2	-2.694184
PEBP4	-2.6950428
CDCA8	-2.6983416
CEP55	-2.7085497
SPX	-2.7085688
AMT	-2.7196178
DIRAS3	-2.7225344
CDC45	-2.7260664
POLE2	-2.7343352
TRDN	-2.7378776
NMRK2	-2.7476811
PIMREG	-2.7493417
EPN3	-2.749571
FPGT-TNNI3K	-2.753526
REC114	-2.7618108
SH3BGR	-2.7646885
MOG	-2.7660723
CSPG5	-2.7860756
H4C3	-2.7945201
SMIM1	-2.7960134
SRPK3	-2.8006084
SLC15A2	-2.8046992
SLC38A3	-2.8067558
ASF1B	-2.817701
TNNT2	-2.8205323
RAB9B	-2.8237228
EMC10	-2.8247669
IMMP1L	-2.8292542
HMGB2	-2.8302786
FMC1	-2.8306324
LINC01456	-2.8324585
NCAPH	-2.8545637
ENPP5	-2.856968
KIF2C	-2.8604605
CRIP1	-2.865284
VSTM2L	-2.866543
LGALS3	-2.8717582
LEFTY2	-2.880727
CSRP3	-2.8827746
C11orf52	-2.9046862
MCM5	-2.908502
NREP	-2.911058
RXRG	-2.9133053
UBE2T	-2.922022
HRC	-2.9480803
NEIL3	-2.9482725
SGO1	-2.953492
PTGES3L	-2.9535713
AQP10	-2.9671056
LINC01405	-2.9698732
G0S2	-2.97905
FRMD3	-2.990653
TOP2A	-3.0045688
HOPX	-3.0096085
C1orf105	-3.0137794
NUDT7	-3.0150604
PANCR	-3.0152397
COL9A1	-3.0246577
SPC24	-3.0251667
ZWINT	-3.0307307
BBOX1-AS1	-3.0349162
DHFR	-3.0351338
CRYM	-3.0482752
SELENOP	-3.0607579
KIF20A	-3.066232
CAV3	-3.0663793
GABRA4	-3.0684273
CDCA3	-3.086259
NPPA	-3.091703
SLC5A12	-3.096242
FGF13-AS1	-3.0972636
PPP1R1C	-3.100553
ITGB1BP2	-3.1037562
AIF1L	-3.1089618
PLCB2	-3.1299267
CALN1	-3.1450956
TESC	-3.1500833
NUF2	-3.1513555
SPSB4	-3.1556752
LSMEM2	-3.164595
PPP1R1A	-3.1715722
KLHDC9	-3.2189019
DMAC1	-3.2342541
FAM133A	-3.2370906
CHCHD10	-3.2619116
NDC80	-3.2694914
FSD2	-3.2746046
OIP5	-3.2826169
FITM1	-3.2911422
TRIM54	-3.2988665
CENPU	-3.3038
CDKN3	-3.3344269
AURKB	-3.3517084
ATP6V1G2	-3.3579175
DLGAP5	-3.3756819
GPD1	-3.377976
SMPX	-3.3957994
LMOD2	-3.4037144
HSPB3	-3.4096777
MYH7	-3.4159026
C1QL1	-3.4457653
TNNI3	-3.4796221
FABP3	-3.4921405
MARCHF11	-3.530975
MB	-3.5428703
CD36	-3.5444713
SLC35D3	-3.5531595
LINC01182	-3.5610135
LDHD	-3.5766554
LINC01611	-3.5819838
MIR133A1HG	-3.5864682
ACTC1	-3.5997746
MYLK-AS1	-3.6141264
PCLAF	-3.6187308
GINS2	-3.6326454
LDB3	-3.6334894
GJD2	-3.6487973
TNNI1	-3.6495943
NAV2-AS2	-3.6595705
SUSD2	-3.664531
RAD51AP1	-3.6686363
CORIN	-3.695186
CPNE5	-3.6961505
HSPB7	-3.7720492
NME5	-3.7729228
MYL4	-3.7893214
ACE2	-3.7922611
FGF12	-3.7952447
TROAP	-3.7958093
CCDC34	-3.8079748
CKMT2	-3.8430169
ODAM	-3.875695
MYL7	-3.9353867
ADPRHL1	-3.9386318
S100A8	-3.9876986
MAOB	-4.013483
TNMD	-4.0175886
TMSB15A	-4.0238366
MSS51	-4.049343
CENPM	-4.064744
TCAP	-4.0674386
PBK	-4.114213
COX6A2	-4.1683
IRX4-AS1	-4.282455
TNNC1	-4.285373
LINC02502	-4.2981625
FAM111B	-4.336571
SPC25	-4.366327
FXYD1	-4.4300594
ACTA1	-4.549569
HHATL	-4.724839
METTL7B	-4.9849105
ALAS2	-5.044219
FBXL22	-5.2897797
MYL2	-5.4996834
KCNIP2	-5.7195635
PGAM2	-5.8231087
